,자치구,동,1인세대,2인세대,택배착지량점수(구별),범죄발생(구별),지하철 승객 수,버스 승객 수,방범용 CCTV(구별),안심택배함수,인구밀도,20~50인구,여성인구,위험경험 비율(구별),다가구주택,아파트,다세대주택,주차장 수,여성 안심 스카우트 이용실적(구별),서울 2030 여성 1인가구 수(구별),길단위 상존인구,건물단위 상존인구,주거 인구,직장 인구,오차_x,오차_y
0,동대문구,휘경2동,6230,2223,3.71428571428571,150.714285714285,0,833774,202,0,23802,15338,12541,31.6,741,4151,1191,834,1387.142857142857,1084.2142857142858,102088,136525,271,13,-1,-0.8178010022373441
1,동대문구,청량리동,4812,2235,3.71428571428571,150.714285714285,0,905377,132,0,17027,9792,9734,31.6,922,3691,853,463,1387.142857142857,1084.2142857142858,25843,78680,195,41,-1,-0.6788406355975856
2,동대문구,용신동,12046,3294,3.71428571428571,150.714285714285,2597297,2369781,266,0,20250,20773,16587,31.6,1040,4446,1522,1409,1387.142857142857,1084.2142857142858,80112,140709,356,94,-1,-1.0900701957079897
3,중랑구,중화2동,7341,3121,3.125,266.75,939103,779098,226,0,25815,15298,12349,33.4,1704,868,2790,919,500.9375,595.125,92676,185616,302,81,-1,-1.0279803965539744
4,강북구,송천동,6559,3307,2.46153846153846,295.230769230769,1873808,1090957,191,0,30968,15065,13540,31.5,1734,1255,2568,967,813.3076923076923,580.7692307692307,99758,159612,367,38,-1,-1.0795580665493056
5,마포구,공덕동,8927,3993,5.1875,302.625,2185424,949301,172,0,38366,24146,20025,38.5,778,7071,2839,776,619.3125,1278.375,34272,76602,203,14,-1,-0.66169541270767
6,강서구,화곡1동,14378,6396,5.75,246.2,3869350,1390821,239,0,47661,34648,27193,36.9,831,5986,11128,2622,157.2,1118.3,5986,15202,42,6,-1,-1.164374424657649
7,금천구,독산3동,6437,3016,3.8,310.5,0,1123780,279,0,31016,15114,13551,35.7,1089,1560,3705,1435,1289.3,840.6,61420,105136,251,43,-1,-0.9821505045669261
8,금천구,독산4동,3673,1818,3.8,310.5,0,785200,200,0,29600,9213,8337,35.7,906,449,2263,1128,1289.3,840.6,64703,90862,257,29,-1,-0.8621961672786779
9,금천구,시흥5동,4125,2405,3.8,310.5,0,877379,241,0,14624,10798,9882,35.7,1114,1581,2373,831,1289.3,840.6,19099,36390,132,12,-1,-0.7444626706046793
10,동작구,상도4동,6629,3147,4.33333333333333,226.666666666666,0,528474,197,0,39075,17868,14917,33.7,950,688,5407,1175,948.8666666666667,1227.4666666666667,90509,134937,379,21,-1,-1.079294863918925
11,관악구,신원동,7039,2060,4.09523809523809,253.714285714285,0,211173,177,0,35073,12106,9272,32.5,1121,677,1653,1125,489.8095238095238,1907.857142857143,95460,173271,359,48,-1,-1.1012829959492398
12,강동구,성내2동,6893,2807,3.83333333333333,223.0,3547555,467291,171,0,37236,14959,12205,32.6,902,4651,2084,1225,449.3888888888889,562.0555555555555,137086,244253,467,49,-2,-0.9629708012998051
